0,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),ReasonEstablishmentOpened (name),OpenDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Gender (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,MainEmail,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,Region
130545,383,Leeds,8011,Leeds College of Music,Higher education institutions,Universities,Open,Not applicable,,Not applicable,16,99,Mixed,3 Quarry Hill,,,Leeds,West Yorkshire,LS2 7PD,http://www.lcm.ac.uk,t.clark@lcm.ac.uk,01132223400,Mr,Gerry,Godley,Principal and Managing Director,Yorkshire and the Humber
130547,383,Leeds,8151,Leeds Arts University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,16,99,Mixed,Blenheim Walk,,,Leeds,West Yorkshire,LS2 9AQ,https://www.leeds-art.ac.uk,info@leeds-art.ac.uk,01132028000,Professor,Simone,Wonnacott,Vice-Chancellor,Yorkshire and the Humber
130650,879,Plymouth,,Arts University Plymouth,Higher education institutions,Universities,Open,Not applicable,,Not applicable,16,99,Mixed,Tavistock Place,,,Plymouth,Devon,PL4 8AT,www.aup.ac.uk,enquiries@aup.ac.uk,01752203434,Professor,Paul,Fieldsend-Danks,Chief Executive and Principal,South West
133250,908,Cornwall,8151,Falmouth University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,16,99,Mixed,Woodlane,,,Falmouth,,TR11 4RH,https://www.falmouth.ac.uk,,01326211077,Professor,Anne,Carlisle,Vice-Chancellor and Chief Executive,South West
133783,919,Hertfordshire,,University of Hertfordshire,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Hatfield Campus,College Lane,,Hatfield,Hertfordshire,AL10 9AB,https://www.herts.ac.uk,,01707284000,Professor,Quintin,McKellar,Vice Chancellor,East of England
133784,330,Birmingham,,University of Birmingham,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Chancellors Court,Edgbaston,,Birmingham,West Midlands,B15 2TT,https://www.birmingham.ac.uk,,01214143344,Professor Sir,David,Eastwood,Vice-Chancellor and Principal,West Midlands
133785,330,Birmingham,,University College Birmingham,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Summer Row,,,Birmingham,West Midlands,B3 1JB,https://www.ucb.ac.uk,,01216041000,Mr,Michael,Harkin,Deputy-Vice Chancellor,West Midlands
133786,330,Birmingham,,"Newman University, Birmingham",Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Genners Lane,Bartley Green,,Birmingham,West Midlands,B32 3NT,https://www.newman.ac.uk,,01214761181,Professor,Peter,Childs,Acting Vice Chancellor,West Midlands
133787,330,Birmingham,,Aston University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Aston Triangle,,,Birmingham,West Midlands,B4 7ET,https://www.aston.ac.uk/,,01212044562,Professor,Alec,Cameron,Vice-Chancellor and Chief Executive,West Midlands
133788,330,Birmingham,,Birmingham City University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,University House,15 Bartholomew Row,,Birmingham,,B5 5JU,https://www.bcu.ac.uk,,01213315000,Professor,Philip,Plowden,Vice Chancellor,West Midlands
133789,800,Bath and North East Somerset,,University of Bath,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Claverton Down,,,Bath,Somerset,BA2 7AY,https://www.bath.ac.uk,,01225826826,Professor,Ian,White,Vice-Chancellor,South West
133790,800,Bath and North East Somerset,,Bath Spa University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Newton Park,Newton St Loe,,Bath,Somerset,BA2 9BN,https://www.bathspa.ac.uk,,01225875875,Professor,Sue,Rigby,Vice Chancellor,South West
