HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
The University of Aberdeen,2022/23,Scotland,Gross internal area,Total gross internal area (m2),267984.57
The University of Aberdeen,2022/23,Scotland,Gross internal area,Non-residential (m2),201867.56
The University of Aberdeen,2022/23,Scotland,Gross internal area,Residential (m2),66117.01
Abertay University,2022/23,Scotland,Gross internal area,Total gross internal area (m2),39004
Abertay University,2022/23,Scotland,Gross internal area,Non-residential (m2),39004
Abertay University,2022/23,Scotland,Gross internal area,Residential (m2),0
Aberystwyth University,2022/23,Wales,Gross internal area,Total gross internal area (m2),260123.43
Aberystwyth University,2022/23,Wales,Gross internal area,Non-residential (m2),168947.23
Aberystwyth University,2022/23,Wales,Gross internal area,Residential (m2),91176.2
Anglia Ruskin University,2022/23,East of England,Gross internal area,Total gross internal area (m2),131093.24
Anglia Ruskin University,2022/23,East of England,Gross internal area,Non-residential (m2),106374.6
Anglia Ruskin University,2022/23,East of England,Gross internal area,Residential (m2),24718.64
Aston University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),112595
Aston University,2022/23,West Midlands,Gross internal area,Non-residential (m2),112595
Aston University,2022/23,West Midlands,Gross internal area,Residential (m2),0
Bangor University,2022/23,Wales,Gross internal area,Total gross internal area (m2),234102.195
Bangor University,2022/23,Wales,Gross internal area,Non-residential (m2),162691.94
Bangor University,2022/23,Wales,Gross internal area,Residential (m2),71410.255
Bath Spa University,2022/23,South West,Gross internal area,Total gross internal area (m2),72857.15
Bath Spa University,2022/23,South West,Gross internal area,Non-residential (m2),52244.15
Bath Spa University,2022/23,South West,Gross internal area,Residential (m2),20613
The University of Bath,2022/23,South West,Gross internal area,Total gross internal area (m2),311179.13
The University of Bath,2022/23,South West,Gross internal area,Non-residential (m2),186847.25
The University of Bath,2022/23,South West,Gross internal area,Residential (m2),124331.88
University of Bedfordshire,2022/23,East of England,Gross internal area,Total gross internal area (m2),95452
University of Bedfordshire,2022/23,East of England,Gross internal area,Non-residential (m2),95452
University of Bedfordshire,2022/23,East of England,Gross internal area,Residential (m2),0
Queen's University Belfast,2022/23,Northern Ireland,Gross internal area,Total gross internal area (m2),425595
Queen's University Belfast,2022/23,Northern Ireland,Gross internal area,Non-residential (m2),328079
Queen's University Belfast,2022/23,Northern Ireland,Gross internal area,Residential (m2),97516
Birkbeck College,2022/23,London,Gross internal area,Total gross internal area (m2),47804
Birkbeck College,2022/23,London,Gross internal area,Non-residential (m2),47804
Birkbeck College,2022/23,London,Gross internal area,Residential (m2),0
Birmingham City University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),157747
Birmingham City University,2022/23,West Midlands,Gross internal area,Non-residential (m2),157747
Birmingham City University,2022/23,West Midlands,Gross internal area,Residential (m2),0
The University of Birmingham,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),569829.5
The University of Birmingham,2022/23,West Midlands,Gross internal area,Non-residential (m2),444017.7
The University of Birmingham,2022/23,West Midlands,Gross internal area,Residential (m2),125811.8
University College Birmingham,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),80524.5
University College Birmingham,2022/23,West Midlands,Gross internal area,Non-residential (m2),57746
University College Birmingham,2022/23,West Midlands,Gross internal area,Residential (m2),22778.5
Bishop Grosseteste University,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),25929.374
Bishop Grosseteste University,2022/23,East Midlands,Gross internal area,Non-residential (m2),16030.71
Bishop Grosseteste University,2022/23,East Midlands,Gross internal area,Residential (m2),9898.664
The Arts University Bournemouth,2022/23,South West,Gross internal area,Total gross internal area (m2),49041
The Arts University Bournemouth,2022/23,South West,Gross internal area,Non-residential (m2),30486
The Arts University Bournemouth,2022/23,South West,Gross internal area,Residential (m2),18555
