"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10007783","The University of Aberdeen","70,410,710.828","21,895.300","0.000","153,495.657","114,491.800"
"10007849","Abertay University","7,898,948.000","900.000","0.000","10,501.000",""
"10007856","Aberystwyth University","37,876,981.960","48,386.410","0.000","279,141.000","3,023,163.000"
"10000291","Anglia Ruskin University","22,963,118.100","9,253.404","58,048.577","81,991.432","116,097.154"
"10007759","Aston University","27,930,948.013","8,827.140","0.000","53,997.000","105,039.000"
"10007857","Bangor University","32,600,032.480","38,083.420","0.000","129,867.330","110,337.640"
"10000571","Bath Spa University","12,098,550.000","13,985.040","0.000","54,395.000","1,179,902.000"
"10007850","The University of Bath","65,426,166.000","19,170.810","0.000","270,918.380","158,393.000"
"10007152","University of Bedfordshire","13,301,890.000","4,419.410","0.000","14,605.000","134,094.000"
"10005343","Queen's University Belfast","96,842,418.000","16,431.000","0.000","228,326.000","61,344.000"
"10007760","Birkbeck College","11,627,494.200","0.000","0.000","25,869.025","0.000"
"10007140","Birmingham City University","35,990,860.000","3,579.000","0.000","56,826.000","76,546.000"
"10006840","The University of Birmingham","181,925,928.000","63,996.000","23,241.000","579,891.000","294,385.000"
"10000712","University College Birmingham","14,994,801.840","4,692.686","0.000","22,129.200","88,472.600"
"10007811","Bishop Grosseteste University","3,879,632.710","4,203.950","0.000","23,053.900","11,778.000"
"10000385","The Arts University Bournemouth","5,531,043.440","3,471.492","0.000","17,293.000","79,674.000"
"10000824","Bournemouth University","16,650,855.812","933.055","0.000","32,513.000","1,776,507.812"
"10007785","The University of Bradford","30,354,858.560","8,028.540","173,421.000","74,122.000","39,351.800"
"10000886","The University of Brighton","32,550,003.380","11,711.720","0.000","104,822.000","622,339.020"
"10007786","The University of Bristol","128,578,986.600","41,258.700","0.000","412,455.100","11,765,796.000"
"10000961","Brunel University London","50,246,283.000","16,194.000","0.000","481,127.000","4,715,000.000"
"10000975","Buckinghamshire New University","13,134,257.000","1,735.000","0.000","58,318.000","126,989.000"
"10007788","The University of Cambridge","257,272,970.000","86,622.000","0.000","366,717.000","25,173,754.000"
"10003324","The Institute of Cancer Research","25,289,256.000","32.470","0.000","21,798.000","59,793.000"
"10001143","Canterbury Christ Church University","20,541,963.366","8,099.000","0.000","92,132.780","8,374,728.000"
"10007814","Cardiff University","123,162,392.856","52,148.610","0.000","323,723.000","283,826.006"
"10007854","Cardiff Metropolitan University","15,980,647.000","620.000","0.000","81,235.000","37,120.000"
"10007141","The University of Central Lancashire","40,638,689.000","24,092.190","0.000","79,206.000","187,593.000"
"10007848","University of Chester","44,807,376.250","24,066.700","0.000","104,596.720","188,869.100"
"10007137","The University of Chichester","11,209,147.050","4,343.220","0.000","39,584.351","43,267.000"
"10001478","City, University of London","32,794,835.000","782.000","0.000","71,433.000","66,248.000"
"10001726","Coventry University","58,070,413.060","19,209.130","0.000","156,113.920","535,082.000"
"10007822","Cranfield University","43,402,304.444","88,801.000","0.000","165,120.000","3,052,660.943"
"10006427","University for the Creative Arts","14,698,639.000","0.000","0.000","57,771.000","1,387,000.000"
"10007842","University of Cumbria","13,448,407.571","5,754.000","0.000","28,841.646","0.000"
"10001883","De Montfort University","27,652,298.000","5,893.200","0.000","64,203.000","224,771.000"
