LA (name),EstablishmentName,Postcode,Region,HE Provider,Biofuels (kWh),Biomass (kWh),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Onsite photovoltaic (kWh),Onsite wind (kWh),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh)
,Abertay University,,,Abertay University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,25273422605434,00,0.0,00,00,53716066007717,00,00,0.0,00,0.0,0.0,0.0,40400004154000.0,00,3271100031245000.0,78989488613151,0000,3971100038557000,3900447784,4092800038177000,0,00
,Aberystwyth University,,,Aberystwyth University,0.0,720005060.25,0.0,0.0,0.0,0.0,0.0,00,00,1643112.241350232.8,15609384.6217459610.95,00,0.0,174380.453339.22,00,1890814123453370,00,135816328301,0.0,00,0.0,0.0,0.0,3213000027518000.0,00,6576600063273000.0,37876981.9642374990.95,667900667900,129866000150725000,260123.43260123.43,132771000123523000,100.0%0.4%100.0%0.4%,302316333361.25302316333361.25
Essex,Anglia Ruskin University,CM1 1SQ,East of England,Anglia Ruskin University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250451670124,00,00,12594009.6211018164.803,4154702079077,0.0,00,00,9570544.9039843614.563,1023058.525113592.04,58048.57742099.215,0.0,00,0.0,0.0,0.0,117180008764000.0,00,3.03106000294327e+17,22963118.124653079.581,74051537492017405153749201,328861000316847000,131093.24131283.74,335300000317866000,8.0%8.0%8.0%8.0%,116097.15484198.431116097.15484198.431
Birmingham,Aston University,B4 7ET,West Midlands,Aston University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,1284.6680,00,13204266.66911679604,00,0.0,00,00,35912204303950,00,10503941155.1,0.0,00,0.0,0.0,0.0,2933400026314000.0,11029137.67611471304,1.72702000159667e+17,27930948.01327496013.1,0000,208539000222151000,112595105735,220959000200789000,9.9%17.0%9.9%17.0%,10503941155.110503941155.1
,Bangor University,,,Bangor University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688235977.9,00,00,13926480.4514123542.762,1530386487,0.0,95112.854417.1,00,17939533.3919880836.18,25211139165,110337.6473574.06,0.0,00,0.0,0.0,0.0,4339300040739000.0,00,1.028450009432e+16,32600032.4834776598.802,22185122464.922185122464.9,172291000200296000,234102.195234102.195,178022000163249000,0.0%27.0%0.0%27.0%,110337.6473574.06110337.6473574.06
Bath and North East Somerset,Bath Spa University,BA2 9BN,South West,Bath Spa University,0.0,11069022387800.0,0.0,0.0,0.0,0.0,0.0,00,00,00,46737275111832,00,0.0,00,00,62479214939898,00,7000070000,0.0,00,0.0,0.0,0.0,37190003124000.0,00,1.2888600081191e+16,1209855012509530,0000,144600000103154000,72857.1586509.618,14576000098792000,48.1%60.2%48.1%60.2%,1179902240392511799022403925
Camden,Birkbeck College,WC1E 7HX,London,Birkbeck College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,6663997.26717981,415270202395,0.0,00,00,45482274105232,00,00,0.0,00,0.0,0.0,0.0,2177400020404000.0,00,7536000076801000.0,11627494.211025608,415270202395415270202395,108152000131731000,4780444979,110284000108248000,100.0%100.0%100.0%100.0%,0000
Birmingham,Birmingham City University,B5 5JU,West Midlands,Birmingham City University,0.0,602865122514.0,0.0,0.0,0.0,0.0,0.0,234246234246,00,0127002,1727012817934758,381745381745,0.0,00,00,1742533020569730,766741766741,7654680322,0.0,00,0.0,0.0,0.0,79240007342000.0,00,2.84423000261147e+17,3599086039450317,615991615991615991615991,297555000284427000,157747182741,316832000288486000,0.0%90.0%0.0%90.0%,76546803227654680322
Lincolnshire,Bishop Grosseteste University,LN1 3DY,East Midlands,Bishop Grosseteste University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,13180791402229.38,00,0.0,00,00,2561553.712750274,00,00,0.0,00,0.0,0.0,0.0,269000417000.0,00,1720900018091000.0,3879632.714152503.38,0000,2405100026919000,25929.37425929.374,2124800021833000,49.5%49.5%49.5%49.5%,1177810279.11177810279.1
"Bournemouth, Christchurch and Poole",Bournemouth University,BH12 5BB,South West,Bournemouth University,0.0,676000350400.0,0.0,0.0,0.0,0.0,0.0,00,00,00,81948578933214,00,0.0,00,00,68130917348918,00,603719.812561393,0.0,363188964499,0.0,0.0,0.0,128350008954000.0,00,1.55331000147211e+17,16650855.81218158424,0000,180419000176504000,9523395217,184601000169674000,100.0%100.0%100.0%100.0%,1776507.81219333921776507.8121933392
,Brunel University London,,,Brunel University London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,2239943221944248.8,00,0.0,00,00,2777435129350388,00,7100070000,15001480.0,00,0.0,0.0,0.0,3087800035112000.0,00,1.85992000178469e+17,5024628351366116.8,0000,278195000312002000,254892.364246858.404,282373000271349000,9.4%9.2%9.4%9.2%,4715000471650047150004716500
Buckinghamshire,Buckinghamshire New University,HP11 2JZ,South East,Buckinghamshire New University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,5300026800,00,62181555148249,00,0.0,00,00,67361137170574,00,126989126881,0.0,00,0.0,0.0,0.0,617000645000.0,00,1.76264000158097e+17,1313425712472504,0000,180806000161466000,70455.3970455.39,188847000169010000,14.2%14.2%,126989126881126989126881
Kent,Canterbury Christ Church University,CT1 1QU,South East,Canterbury Christ Church University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,8335496.8510238627.22,00,0.0,7906.7160,00,12159327.811439129.37,00,3923223174.01,0.0,00,0.0,0.0,0.0,53870004629000.0,00,2.38454000162718e+17,20541963.36621700930.6,0000,260420000191206000,126739.512137204,263808000185834000,40.6%0.5%40.6%0.5%,83747288374728
,Cardiff Metropolitan University,,,Cardiff Metropolitan University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,60279695192777,00,0.0,00,00,99153589585262,00,3732036119,0.0,00,0.0,0.0,0.0,70740005453000.0,00,1.23787000112278e+17,1598064714814158,0000,147638000137885000,9704197041,153234000137176000,37.6%54.0%37.6%54.0%,37120361193712036119
,Cardiff University,,,Cardiff University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,5132665051267886.237,00,0.0,00,00,71423014.8578046198.576,00,283826.006283826.006,0.0,00,0.0,0.0,0.0,1.94680000183998e+17,1289020,3.39760000363832e+17,123162392.856129597910.819,0000,611469000725313000,545578545578,636381000634167000,100.0%100.0%100.0%100.0%,283826.006283826.006283826.006283826.006
Camden,University of London,WC1E 7HU,London,"City, University of London",0.0,0.0,0.0,0.0,0.0,0.0,0.0,54185824576559.34,00,00,1277015413499749,28848992592385.732,0.0,00,00,1165495214717482,36805124647626,662480,0.0,00,0.0,0.0,0.0,2626500024417000.0,00,2.33347000220355e+17,3279483535386176.072,8303481716894583034817168945,272199000328182000,125676.51124175.57,276726000262148000,100.0%100.0%100.0%100.0%,6624866248
Coventry,Coventry University,CV1 5FB,West Midlands,Coventry University,0.0,490800268512.0,0.0,0.0,0.0,0.0,0.0,52911882209090,00,00,1718523120107490,68000043036820,0.0,270573292470.9,00,27988335.0635096210.96,160013014277586,4428257137,0.0,00,0.0,0.0,0.0,257850000.0,00,425139000.0,58070413.0661067730.86,120911925245910120911925245910,4972510000,294932.737292276.83,491296000,29.6%33.9%29.6%33.9%,535082325649535082325649
