HE Provider,Biofuels (kWh),Biomass (kWh),Burning oil (kWH),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Environmental reporting total,Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Non-residential (m2),Non-residential category A (m2),Non-residential category B (m2),Non-residential category C (m2),Non-residential category D (m2),Non-residential category E (m2),Non-residential category F (m2),Non-residential category G (m2),Non-residential energy consumption total (kWh),Non-residential income total (£),Onsite photovoltaic (kWh),Onsite wind (kWh),Other non-residential income (£),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Residential (m2),Residential category A (m2),Residential category B (m2),Residential category C (m2),Residential category D (m2),Residential category E (m2),Residential category F (m2),Residential category G (m2),Residential energy consumption total (kWh),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),where the ROCs are sold (%)
Abertay University,00,00,00,0,0,00,00,0,00,NoNo,00,00,25273422605434,00,00,00,00,53716066007717,00,3900438986,0,0,0,0,0,0,0,78989487338718,4092800037263000,00,00,41770001864000,00,00,0,00,40400004154000,08798,0,0,0,0,0,0,0,01274433,00,3271100031245000,78989488613151,0000,3971100038557000,3900447784,4092800038177000,0,00,0.0%0.0%,0.0%0.0%
Aberystwyth University,00,720005060.25,111800.725076.73,0,0,00,00,0,00,YesYes,00,1643112.241350232.8,15609384.6217459610.95,00,00,174380.453339.22,00,1890814123453370,00,168947.23168947.23,00,1702517025,4126441264,1661216612,39443944,00,14691469,28864440.4531392683.71,1.21e+08112486000,135816328301,00,2310400021695000,00,00,0,00,3213000027518000,91176.291176.2,1148411484,2900829008,1556615566,20792079,00,00,00,9012541.5110982307.24,00,6576600063273000,37876981.9642374990.95,667900667900,129866000150725000,260123.43260123.43,132771000123523000,100.0%0.4%100.0%0.4%,302316333361.25302316333361.25,100.0%100.0%,0.0%0.0%
Anglia Ruskin University,00,00,00,0,0,00,00,0,3250451670124,YesYes,00,00,12594009.6211018164.803,4154702079077,00,00,00,9570544.9039843614.563,1023058.525113592.04,106374.6106565.1,00,4804.833780.85,31878.3646875.17,37602.1926965.6,18277.3411383.02,381.9411642.29,00,18176769.72819356999.076,327172000310569000,58048.57742099.215,00,123480007478000,00,00,0,00,117180008764000,24718.6424718.64,00,00,5427.2853434.245,4846.0376839.077,00,00,00,4786348.3725296080.505,00,303106000294327000,22963118.124653079.581,74051537492017405153749201,328861000316847000,131093.24131283.74,335300000317866000,8.0%8.0%8.0%8.0%,116097.15484198.431116097.15484198.431,0.0%0.0%,0.0%0.0%
Aston University,00,00,00,0,0,00,00,0,00,YesYes,1284.6680,00,13204266.66911679604,00,00,00,00,35912204303950,00,112595105735,02513.161,5588.518046.949,13405.37885174.889,72185.7870,2475.9760,6894.8540,6371.0190,27930948.01327496013.1,214051000195387000,10503941155.1,00,120150009406000,00,00,0,00,2933400026314000,00,00,00,00,00,00,00,00,00,11029137.67611471304,172702000159667000,27930948.01327496013.1,0000,208539000222151000,112595105735,220959000200789000,9.9%17.0%9.9%17.0%,10503941155.110503941155.1,0.0%0.0%,0.0%0.0%
Bangor University,00,00,506383.2521763.8,0,0,00,00,0,688235977.9,YesYes,00,00,13926480.4514123542.762,1530386487,00,95112.854417.1,00,17939533.3919880836.18,25211139165,162691.94162691.94,1879.771879.765,28467.7825949.527,24486.4442375.194,40527.4735219.271,8647.45516.5,00,2118.612118.608,25294125.6827496145.002,164749000151485000,110337.6473574.06,00,1851100016426000,00,00,0,00,4339300040739000,71410.25571410.255,13947517.7,32063.6236687.223,36617.425870.102,649.35649.347,00,00,00,7305906.87280453.8,00,10284500094320000,32600032.4834776598.802,22185122464.922185122464.9,172291000200296000,234102.195234102.195,178022000163249000,0.0%27.0%0.0%27.0%,110337.6473574.06110337.6473574.06,0,0
Bath Spa University,00,11069022387800,00,0,0,00,00,0,00,YesYes,00,00,46737275111832,00,00,00,00,62479214939898,00,52244.1552594.348,20964422,1241210273,1888819211,44833293,9871569,312312,7840,8666211.0276880241.5,13948000089985000,7000070000,00,68750005670000,00,00,0,00,37190003124000,2061333915.27,1107711077,417015416,1070924,20431119,00,00,00,3432338.9745629288.5,00,12888600081191000,1209855012509530,0000,144600000103154000,72857.1586509.618,14576000098792000,48.1%60.2%48.1%60.2%,1179902240392511799022403925,0.0%0.0%,0.0%0.0%
Birkbeck College,00,00,00,0,0,00,00,0,00,YesYes,00,00,6663997.26717981,415270202395,00,00,00,45482274105232,00,4780444979,00,125181781,56232982,46550,06968,160682057,564521713,11627494.211025608,109555000107959000,00,00,1242100010754000,00,00,0,00,2177400020404000,00,00,00,00,00,00,00,00,00,00,7536000076801000,11627494.211025608,415270202395415270202395,108152000131731000,4780444979,110284000108248000,100.0%100.0%100.0%100.0%,0000,0.0%0.0%,0.0%0.0%
Birmingham City University,00,602865122514,00,0,0,00,00,0,234246234246,YesYes,00,0127002,1727012817934758,381745381745,00,00,00,1742533020569730,766741766741,157747161344,00,612718345,8039736214,3741451999,370123949,00,00,3599086037320287,311319000283657000,7654680322,00,1897200015168000,00,00,0,00,79240007342000,021397,00,019113,00,00,00,00,00,02130030,00,284423000261147000,3599086039450317,615991615991615991615991,297555000284427000,157747182741,316832000288486000,0.0%90.0%0.0%90.0%,76546803227654680322,0.0%0.0%,0.0%0.0%
Bishop Grosseteste University,00,00,00,0,0,00,00,0,00,NoNo,00,00,13180791402229.38,00,00,00,00,2561553.712750274,00,16030.7116030.71,18601860,2211.42211.4,7313.97313.9,24202420,12301230,00,00,2203432.153062682.58,1973000020213000,00,00,22520001705000,00,00,0,00,269000417000,9898.6649898.664,00,3912.63912.6,00,4226.94226.9,00,00,00,1676200.551089820.8,00,1720900018091000,3879632.714152503.38,0000,2405100026919000,25929.37425929.374,2124800021833000,49.5%49.5%49.5%49.5%,1177810279.11177810279.1,0,0
Bournemouth University,00,676000350400,00,0,0,00,00,0,00,YesYes,00,00,81948578933214,00,00,00,00,68130917348918,00,8882288806,00,17147.7720933.67,34383.6360573.95,35284.064740.27,00,00,00,15295112.31216789691,177299000162641000,603719.812561393,00,91330006476000,363188964499,00,0,00,128350008954000,64116411,00,64116411,00,00,00,00,00,1355743.51368733,00,155331000147211000,16650855.81218158424,0000,180419000176504000,9523395217,184601000169674000,100.0%100.0%100.0%100.0%,1776507.81219333921776507.8121933392,0.0%0.0%,0.0%0.0%
